imagen,timestamp,planta_id,numero_plantas_total,area_plantcv,perimetro_opencv,solidez_opencv,precision,f1_score
webcam_2025-08-27_09-00-18,2025-08-27 09:00:18,1,3,519.0,100.28427076339722,0.9094412313883599,0.5843109885430574,0.501404863259083
webcam_2025-08-27_09-00-18,2025-08-27 09:00:18,2,3,599.0,126.5269113779068,0.7870167749277655,0.42311685156772344,0.34870556049289125
webcam_2025-08-27_09-00-18,2025-08-27 09:00:18,3,3,473.0,102.97056245803833,0.9215686254432056,0.43469190969179033,0.3704839081592536
webcam_2025-08-27_13-00-08,2025-08-27 13:00:08,1,3,446.0,95.21320307254791,0.9050847437173226,0.5619791757935436,0.4776792100666174
webcam_2025-08-27_13-00-08,2025-08-27 13:00:08,2,3,458.0,109.94112479686737,0.8323108367437406,0.438566971211313,0.3621860597918768
webcam_2025-08-27_13-00-08,2025-08-27 13:00:08,3,3,405.0,98.14213538169861,0.8782287801273585,0.4002532265143737,0.3344942412662141
webcam_2025-08-27_16-00-20,2025-08-27 16:00:20,1,3,399.0,87.21320307254791,0.9154929554020667,0.5900074974559011,0.50190945499043
webcam_2025-08-27_16-00-20,2025-08-27 16:00:20,2,3,437.0,103.21320307254791,0.8887614658514645,0.3839605187666191,0.3224072235359332
webcam_2025-08-27_16-00-20,2025-08-27 16:00:20,3,3,435.0,105.69848418235779,0.8662921328847368,0.4187621566051632,0.348759411944668
webcam_2025-08-28_09-00-17,2025-08-28 09:00:17,1,3,600.0,119.4558436870575,0.8715890836732118,0.48918206717072416,0.41462155302783815
webcam_2025-08-28_09-00-17,2025-08-28 09:00:17,2,3,631.0,137.59797883033752,0.8344370848646989,0.4324484527056955,0.36010884280251987
webcam_2025-08-28_09-00-17,2025-08-28 09:00:17,3,3,541.0,119.79898953437805,0.918250948824618,0.3252874121164021,0.27663187557889873
webcam_2025-08-28_16-00-03,2025-08-28 16:00:03,1,3,538.0,106.28427064418793,0.9155722309276318,0.553179880728775,0.4745190879176402
webcam_2025-08-28_16-00-03,2025-08-28 16:00:03,2,3,556.0,125.69848430156708,0.8099510590376002,0.4029372039026493,0.33227977420305854
webcam_2025-08-28_16-00-03,2025-08-28 16:00:03,3,3,483.0,105.79898953437805,0.8861538443360947,0.4315720342201812,0.36426536275528004
webcam_2025-08-29_09-00-09,2025-08-29 09:00:09,1,3,575.0,106.04163014888763,0.8889830493407067,0.5812290056400028,0.49825654913199724
webcam_2025-08-29_09-00-09,2025-08-29 09:00:09,2,3,560.0,125.69848430156708,0.707420493699759,0.4106799478203249,0.32897996289163195
webcam_2025-08-29_09-00-09,2025-08-29 09:00:09,3,3,539.0,113.79898953437805,0.891344381415572,0.38730831879710736,0.3283322734169288
webcam_2025-08-29_13-00-25,2025-08-29 13:00:25,1,3,487.0,99.35533821582794,0.902862983838726,0.5714035803513907,0.4872316427288325
webcam_2025-08-29_13-00-25,2025-08-29 13:00:25,2,3,452.0,96.04163026809692,0.9145106841068376,0.4965301280992612,0.42323802739801236
webcam_2025-08-29_13-00-25,2025-08-29 13:00:25,3,3,431.0,115.69848430156708,0.7289448194986548,0.36418202936385413,0.2893517604389385
webcam_2025-08-29_16-00-04,2025-08-29 16:00:04,1,3,665.0,126.28427076339722,0.8248125414794648,0.4729768309820306,0.3976671533667077
webcam_2025-08-29_16-00-04,2025-08-29 16:00:04,2,3,643.0,132.18376541137695,0.8336917550771444,0.41597857662860965,0.34807243362130424
webcam_2025-08-29_16-00-04,2025-08-29 16:00:04,3,3,595.0,122.87005722522736,0.8376268527125263,0.3719193532320597,0.31141298688805874
webcam_2025-08-30_09-00-02,2025-08-30 09:00:02,1,3,537.0,108.28427076339722,0.8804347810137051,0.5293329537970606,0.4491917841156169
webcam_2025-08-30_09-00-02,2025-08-30 09:00:02,2,3,525.0,114.04163014888763,0.8570127488943301,0.3994622378681801,0.3347859425488756
webcam_2025-08-30_09-00-02,2025-08-30 09:00:02,3,3,481.0,116.04163014888763,0.7814508709247918,0.38148141806341834,0.3104155385712468
webcam_2025-08-30_13-00-17,2025-08-30 13:00:17,1,3,655.0,133.69848430156708,0.8572463755692081,0.4540207341639455,0.3825394969357057
webcam_2025-08-30_13-00-17,2025-08-30 13:00:17,2,3,576.0,116.5269113779068,0.8384244359510861,0.4498179376823404,0.3773975923545503
webcam_2025-08-30_13-00-17,2025-08-30 13:00:17,3,3,539.0,124.97056245803833,0.8528099895578769,0.3174688230657173,0.26437629828406534
webcam_2025-08-30_16-00-12,2025-08-30 16:00:12,1,3,549.0,102.38477599620819,0.9267161392825304,0.5963179649931489,0.5155393448899204
webcam_2025-08-30_16-00-12,2025-08-30 16:00:12,2,3,660.0,145.2132030725479,0.7912751667231206,0.33824102089596425,0.2781044585137187
webcam_2025-08-30_16-00-12,2025-08-30 16:00:12,3,3,617.0,122.52691125869751,0.8640926627581581,0.42636936099228406,0.3607552682368881
webcam_2025-08-31_13-00-27,2025-08-31 13:00:27,1,3,454.0,102.87005722522736,0.8692390120702272,0.4872791340973097,0.4083344470373649
webcam_2025-08-31_13-00-27,2025-08-31 13:00:27,2,3,528.0,113.35533833503723,0.8445825917502974,0.44247699296871706,0.3699578592582034
webcam_2025-08-31_13-00-27,2025-08-31 13:00:27,3,3,432.0,109.79898953437805,0.8702640622956049,0.31229409348039466,0.259514229315924
webcam_2025-08-31_16-00-06,2025-08-31 16:00:06,1,3,556.0,109.11269783973694,0.893805308152557,0.5417507990217477,0.46240762051575046
webcam_2025-08-31_16-00-06,2025-08-31 16:00:06,2,3,556.0,117.11269760131836,0.8600858354333291,0.4220939856562452,0.354953963688364
webcam_2025-08-31_16-00-06,2025-08-31 16:00:06,3,3,554.0,126.04163014888763,0.8915989143783217,0.30328764899702193,0.25559016064292434
webcam_2025-09-01_09-00-18,2025-09-01 09:00:18,1,3,586.0,110.28427064418793,0.9295039148311507,0.5625433869063112,0.48628540757711664
webcam_2025-09-01_09-00-18,2025-09-01 09:00:18,2,3,566.0,134.87005722522736,0.8464135006811586,0.32252532358727876,0.26754760281245904
webcam_2025-09-01_09-00-18,2025-09-01 09:00:18,3,3,551.0,115.11269783973694,0.8583765097437366,0.4367908751989893,0.36740052210036034
webcam_2025-09-01_13-00-08,2025-09-01 13:00:08,1,3,537.0,112.52691113948822,0.8737601426983587,0.48900061922425914,0.4128901659890571
